activity_id	decision	target_visual_status	source_kind	source_title	source_page	download_url	author	license	why	next_step	decision_date
anholter-schweiz-erleben	integrate_now	ready	wikimedia_commons	20200722 Anholter Schweiz 04.jpg	https://commons.wikimedia.org/wiki/File:20200722_Anholter_Schweiz_04.jpg	https://commons.wikimedia.org/wiki/Special:FilePath/20200722_Anholter_Schweiz_04.jpg	Ziko	CC BY-SA 4.0	echtes lokales 16:9-Motiv; klar sauberer als Website-/Freigabequelle	im Sammelpatch integrieren	2026-06-12
burloer-venn-entdecken	integrate_now	ready	wikimedia_commons	20190331 Entenschlatt im Burloer Venn, Borken (00877).jpg	https://commons.wikimedia.org/wiki/File:20190331_Entenschlatt_im_Burloer_Venn,_Borken_(00877).jpg	https://commons.wikimedia.org/wiki/Special:FilePath/20190331_Entenschlatt_im_Burloer_Venn%2C_Borken_%2800877%29.jpg	Günter Seggebäing / Watzmann	CC BY-SA 3.0	echtes Burloer-Venn-Motiv; besser als generisches/KI-Naturbild	im Sammelpatch integrieren	2026-06-12
proebstingsee-borken-erleben	integrate_now	ready	wikimedia_commons	Tretboote am Pröbstingsee Borken.jpg	https://commons.wikimedia.org/wiki/File:Tretboote_am_Pr%C3%B6bstingsee_Borken.jpg	https://commons.wikimedia.org/wiki/Special:FilePath/Tretboote_am_Pr%C3%B6bstingsee_Borken.jpg	Tetzemann	CC0 1.0 / Public Domain	echter Ort mit starkem Freizeitbezug; rechtlich besonders einfach	im Sammelpatch integrieren	2026-06-12
schloss-ringenberg-erleben	integrate_now	ready	wikimedia_commons	SchlossRingenberg04.jpg	https://commons.wikimedia.org/wiki/File:SchlossRingenberg04.jpg	https://commons.wikimedia.org/wiki/Special:FilePath/SchlossRingenberg04.jpg	Sir Gawain	CC BY-SA 2.0 DE	echtes Schlossmotiv; ruhiger Card-Crop; solide Premiumbasis	im Sammelpatch integrieren	2026-06-12
schwarzes-wasser-wesel-entdecken	integrate_now	ready	wikimedia_commons	Naturschutzgebiet Schwarzes Wasser.jpg	https://commons.wikimedia.org/wiki/File:Naturschutzgebiet_Schwarzes_Wasser.jpg	https://commons.wikimedia.org/wiki/Special:FilePath/Naturschutzgebiet_Schwarzes_Wasser.jpg	Mason Richter	CC BY-SA 4.0	exakter Ort; echtes 16:9-Motiv; klar glaubwürdiger als generisches Waldsee-Bild	im Sammelpatch integrieren	2026-06-12
tiergarten-schloss-raesfeld-erleben	integrate_now	ready	wikimedia_commons	Renaissance-Tiergarten Schloss Raesfeld.jpg	https://commons.wikimedia.org/wiki/File:Renaissance-Tiergarten_Schloss_Raesfeld.jpg	https://commons.wikimedia.org/wiki/Special:FilePath/Renaissance-Tiergarten_Schloss_Raesfeld.jpg	Reinhard G. Nießing	CC BY-SA 4.0	sehr starkes reales Tiergarten-/Schlossumfeld; premiumtauglich	im Sammelpatch integrieren	2026-06-12
wooldse-veen-entdecken	integrate_now	ready	wikimedia_commons	Bohlenweg im Wooldse Veen.JPG	https://commons.wikimedia.org/wiki/File:Bohlenweg_im_Wooldse_Veen.JPG	https://commons.wikimedia.org/wiki/Special:FilePath/Bohlenweg_im_Wooldse_Veen.JPG	Günter Seggebäing	CC BY-SA 3.0	echter Bohlenweg am richtigen Ort; deutlich besser als symbolisches KI-Motiv	im Sammelpatch integrieren	2026-06-12
zeitreise-dingdener-heide	integrate_now	ready	wikimedia_commons	Alte Feldweg-Allee in der Dingdener Heide.jpg	https://commons.wikimedia.org/wiki/File:Alte_Feldweg-Allee_in_der_Dingdener_Heide.jpg	https://commons.wikimedia.org/wiki/Special:FilePath/Alte_Feldweg-Allee_in_der_Dingdener_Heide.jpg	Börste	CC BY-SA 4.0	echter Ort; atmosphärisch stark und glaubwürdiger als Symbolbild	im Sammelpatch integrieren	2026-06-12
aasee-erleben	integrate_now	ready	wikimedia_commons	Aasee Bocholt - Strand.jpg	https://commons.wikimedia.org/wiki/File:Aasee_Bocholt_-_Strand.jpg	https://commons.wikimedia.org/wiki/Special:FilePath/Aasee_Bocholt_-_Strand.jpg	Odna	CC BY-SA 3.0	echter Aasee; optisch etwas älter, aber lokaler und glaubwürdiger als KI	im Sammelpatch integrieren	2026-06-12
borkener-tuerme-tour	integrate_now	ready	wikimedia_commons	Borken, Kuhmturm -- 2014 -- 2271.jpg	https://commons.wikimedia.org/wiki/File:Borken,_Kuhmturm_--_2014_--_2271.jpg	https://commons.wikimedia.org/wiki/Special:FilePath/Borken,_Kuhmturm_--_2014_--_2271.jpg	Dietmar Rabich	CC BY-SA 4.0	echtes Turm-/Stadtmotiv; sachlich, aber klar passend zur Activity	im Sammelpatch integrieren	2026-06-12
das-mysterium-von-winterswijk	integrate_now	ready	wikimedia_commons	Winterswijk, kerktoren van de Jacobskerk RM39053 vanaf het Vrijheidspark IMG 2598 2022-07-18 17.51.jpg	https://commons.wikimedia.org/wiki/File:Winterswijk,_kerktoren_van_de_Jacobskerk_RM39053_vanaf_het_Vrijheidspark_IMG_2598_2022-07-18_17.51.jpg	https://commons.wikimedia.org/wiki/Special:FilePath/Winterswijk,_kerktoren_van_de_Jacobskerk_RM39053_vanaf_het_Vrijheidspark_IMG_2598_2022-07-18_17.51.jpg	Michielverbeek	CC BY-SA 4.0	starker Ortsanker; kein perfektes Mystery-Motiv, aber sauber und lokal	im Sammelpatch integrieren	2026-06-12
korenburgerveen-entdecken	integrate_now	ready	wikimedia_commons	Winterswijk (NL), Korenburgerveen -- 2014 -- 3080.jpg	https://commons.wikimedia.org/wiki/File:Winterswijk_(NL),_Korenburgerveen_--_2014_--_3080.jpg	https://commons.wikimedia.org/wiki/Special:FilePath/Winterswijk_(NL),_Korenburgerveen_--_2014_--_3080.jpg	Dietmar Rabich	CC BY-SA 4.0	echtes Korenburgerveen; glaubwürdiger als KI, auch wenn Bildwirkung eher Naturdetail ist	im Sammelpatch integrieren	2026-06-12
villa-mondriaan-winterswijk-erleben	integrate_now	ready	wikimedia_commons	2013-05-18 villa mondrian.JPG	https://commons.wikimedia.org/wiki/File:2013-05-18_villa_mondrian.JPG	https://commons.wikimedia.org/wiki/Special:FilePath/2013-05-18_villa_mondrian.JPG	Ziko van Dijk	CC BY-SA 3.0	echte Außenansicht; visuell solide und sauber nutzbar	im Sammelpatch integrieren	2026-06-12
zwillbrocker-venn-flamingos-entdecken	integrate_now	ready	wikimedia_commons	Mixed flamingo group, Zwillbrocker Venn, Vreden, Kreis Borken, NRW, Germany.jpg	https://commons.wikimedia.org/wiki/File:Mixed_flamingo_group,_Zwillbrocker_Venn,_Vreden,_Kreis_Borken,_NRW,_Germany.jpg	https://commons.wikimedia.org/wiki/Special:FilePath/Mixed_flamingo_group,_Zwillbrocker_Venn,_Vreden,_Kreis_Borken,_NRW,_Germany.jpg	EvaVOR	CC BY-SA 4.0	echte Flamingos am richtigen Ort; authentischer als KI-Symbolbild	im Sammelpatch integrieren	2026-06-12
handwerksmuseum-bocholt-erleben	integrate_now	fallback	wikimedia_commons	Handwerksmuseum Bocholt.jpg	https://commons.wikimedia.org/wiki/File:Handwerksmuseum_Bocholt.jpg	https://commons.wikimedia.org/wiki/Special:FilePath/Handwerksmuseum_Bocholt.jpg	Stahlkocher	CC BY-SA 3.0 / GFDL	echtes lokales Motiv, aber nur 800x422 und kein finaler Premium-Endstand	als Übergang integrieren; später besseres Innen-/Werkstattbild suchen	2026-06-12
grenzenlos-wandern-dinxperlo-suderwick	integrate_now	fallback	wikimedia_commons	2019-03-29 Heelweg Hellweg 18.jpg	https://commons.wikimedia.org/wiki/File:2019-03-29_Heelweg_Hellweg_18.jpg	https://commons.wikimedia.org/wiki/Special:FilePath/2019-03-29_Heelweg_Hellweg_18.jpg	Ziko van Dijk	CC BY-SA 4.0	echter Grenzraum; noch nicht ideales Premiumbild wegen Straße/Schilderwirkung	als Übergang integrieren; später erneut verbessern	2026-06-12
buergerpark-rhede	hold_permission_required	none	official_city_site	Bürgerpark Rhede	https://www.rhede.de/portal/seiten/buergerpark-900000924-28220.html		Stadt Rhede	© Stadt Rhede	oberes offizielles Bild ist motivisch stark, aber nicht frei nutzbar	Freigabe anfragen; erst danach integrieren	2026-06-12
waldlehrpfad-am-vossenpand	hold_permission_required	none	official_city_site	Waldlehrpfad am Vossenpand	https://www.bocholt.de/waldlehrpfad		Stadt Bocholt / Presse-Service	kontextgebundene Veröffentlichung mit Quellenangabe	offizielle Bilder thematisch passend, aber noch keine saubere Premium-Endfreigabe	Freigabe bzw. klare Nutzungsbasis klären; dann neu entscheiden	2026-06-12
suderwicker-maerchenspielplatz	park_activity	none	none					kleiner gewöhnlicher Spielplatz; schwache Bildlage; aktuell nicht stark genug für Einzel-Activity	vorerst parken oder später in Sonderkategorie Spielplätze überführen	2026-06-12
flamingoroute-ab-bocholt	not_in_active_scope	none	wikimedia_commons	Flamingos im Morgenrot.jpg	https://commons.wikimedia.org/wiki/File:Flamingos_im_Morgenrot.jpg	https://commons.wikimedia.org/wiki/Special:FilePath/Flamingos_im_Morgenrot.jpg	Joefrei	CC BY-SA 3.0	Kandidat nur relevant, falls die Activity im aktiven Set existiert	nur prüfen, falls Activity wieder aktiv/angelegt wird	2026-06-12
